ril_gen,Height_Drought_LSM_Sqrt,SPAD_Drought_LSM,RWC_Drought_LSM_SqRt,AGB_Drought_LSM,BGB_Drought_LSM,LT_Drought_LSM
E1_F5,3.110466203,25.6,4.194352464,0.22845,0.117575,33.45
E10_F5,2.876629973,25.65,8.194944771,0.2238,0.133125,33.85
E11_F5,3.106444913,22.8,7.172763794,0.186125,0.086825,32.65
E14_F3,3.420526275,24.425,5.97433494,0.1915,0.125875,34.3
E15_F5,2.919760264,29.96666667,5.931209806,0.188,0.111275,35.1
E16_F5,2.841654448,26.15,7.206472919,0.17775,0.0715,35.05
E17_F5,3.098386677,27.65,7.075235846,0.20385,0.117225,NA
E18_F5,3.4278273,15.46666667,5.182858947,0.24015,0.094025,NA
E18-W_F5,2.724885319,31.875,6.930344644,0.17895,0.086775,33.95
E19_F5,2.859195691,22.25,4.404234727,0.179525,0.094575,NA
E2_F5,3.004163777,24.85,7.81987597,0.178875,0.1041,34.1
E20_F5,3.029026246,21.56666667,8.943598834,0.23755,0.13965,32.8
E21_F5,3.471310992,14.8,4.462230879,0.186625,0.105525,NA
E21-W_F5,3.391164992,NA,NA,0.277675,0.121475,NA
E22_F5,2.752271789,24.1,8.164965809,0.153425,0.086125,NA
E23_F5,2.854820485,20.3,7.187952884,0.182125,0.1101,33.5
E23-W_F5,3.271085447,14.9,6.767743563,0.204075,0.1021,NA
E24_F5,2.423839929,27.125,5.837796846,0.145425,0.06135,35.25
E24-W_F5,2.962262649,21.56666667,6.537132528,0.230525,0.136825,NA
E25_F5,2.93257566,23.9,4.12118029,0.21955,0.1024,32.15
E26_F5,2.720294102,NA,6.098813276,0.1755,0.0931,NA
E26-W_F4,2.885307609,25.15,7.011658521,0.15815,0.101025,34.35
E29-W_F5,3.012474066,NA,4.264014327,0.186725,0.078775,NA
E30_F5,3.012474066,23.5,8.169903799,0.1705,0.126525,34.6
E32_F5,2.983286778,27.45,7.215803812,0.187125,0.09165,34.35
E33_F5,2.828427125,18.875,5.814932669,0.16975,0.118125,35.75
E35_F5,3.033150178,12.6,NA,0.1957,0.090325,NA
E36_F5,2.408318916,25.3,8.077262237,0.05035,0.05035,NA
E37_F4,2.765863337,NA,5.331439057,0.152425,0.072575,34.85
E38-W_F5,2.738612788,22.3,7.581623205,0.1431,0.095575,NA
E4_F5,2.974894956,23.875,7.01754152,0.18673333,0.09503333,NA
E40-W_F5,3.653765181,11.05,4.376106882,0.194075,0.084325,NA
E41_F5,2.859195691,29.1,7.96593978,0.133125,0.090725,35.65
E42_F5,3.053686297,16.76666667,6.826824599,0.212175,0.121075,33
E43_F5,3.255764119,22.025,5.696386297,0.199875,0.121175,NA
E44_F5,3.394849039,25.5,7.100346186,0.193625,0.12085,35.15
E45_F5,2.706473721,18.65,5.745232822,0.1836,0.113975,NA
E46-W_F5,2.880972058,22.33333333,5.742210824,0.23365,0.1073,34.95
E47_F5,3.183289702,24.06666667,4.921368039,0.18263333,0.07203333,NA
E48_F5,3.170173497,20,7.054049573,0.220225,0.09905,33.15
E49_F5,2.738612788,18.25,4.698714939,0.173475,0.108825,NA
E49-W_F5,2.863564213,19.66666667,6.93768063,0.222175,0.119825,32.95
E5_F5,2.915475947,17.56666667,7.736957403,0.2134,0.14365,33
E50_F5,3.110466203,17.8,6.382309687,0.24885,0.1016,35.15
E6_F5,3.07408523,NA,NA,0.1834,0.09985,NA
E7_F5,2.962262649,17.375,9.035204709,0.173775,0.1007,36.8
E8_F5,2.573907535,21.175,8.840771011,0.1345,0.0718,NA
L1_F5,2.949576241,20.825,7.099686618,0.206975,0.106475,35.15
L10_F3,2.80624304,22.6,9.668415634,0.158125,0.103125,34.35
L11_F3,3.255764119,15.73333333,7.340004358,0.185375,0.114025,35.35
L12_F4,3.078148794,23.9,6.465705864,0.183475,0.092725,35.15
L13_F5,2.50998008,20.775,7.516639755,0.1208,0.056475,36.4
L14_F3,3.008321791,21.975,7.583113916,0.226775,0.09865,34.25
L15_F3,3.16227766,22.86666667,6.955323521,0.181325,0.106,34.95
L16_F4,3.24422564,20.2,7.617610816,0.199575,0.14075,NA
L17_F5,3.065941943,25.06666667,6.162775185,0.235875,0.0844,33.6
L18_F5,3.049590136,23.3,6.833623863,0.185575,0.11855,33.15
L19_F3,3.094349689,16.15,7.837638128,0.191575,0.1279,34.25
L2_F4,3.008321791,23.825,7.162703559,0.218025,0.137875,33.65
L20_F5,3.320391543,18.85,7.071067812,0.155125,0.07505,NA
L21_F4,2.995830436,25.025,6.003935642,0.180465,0.090025,NA
L22_F5,3.263433774,23.03333333,6.632393843,0.2098,0.0754,35.2
L23_F5,2.928310093,17.26666667,6.291638706,0.22735,0.1185,34.2
L24_F5,2.863564213,31.7,7.333166358,0.1966,0.0908,34.6
L26_F5,2.832843095,25.05,6.592204153,0.1903,0.1062,NA
L27_F4,2.974894956,22.4,6.492487456,0.179125,0.11135,NA
L28_F5,2.573907535,21.9,6.662208848,0.183575,0.08445,32.95
L29_F5,2.828427125,25.06666667,7.885205805,0.17005,0.100425,34.2
L33_F5,2.906888371,20.8,9.152138554,0.203575,0.126725,34.95
L34_F4,3.098386677,NA,5.354126135,0.2264,0.1241,NA
L35_F4,3.065941943,21.75,8.096658916,0.185925,0.1068,34.05
L37_F5,2.846049894,23.75,5.883545714,0.2053,0.099,NA
L38_F5,2.779388422,24.3,8.417346341,0.1642,0.083175,35.2
L39_F5,3.205464085,25.26666667,4.843885492,0.21385,0.0779,NA
L4_F5,3.17411405,16.625,7.305140612,0.1868,0.125575,31.1
L40_F3,3.197655391,20.65,7.477121538,0.215775,0.129525,31.75
L41_F3,2.854820485,18,9.219748031,0.159375,0.118125,33.8
L43_F5,2.828427125,20.575,4.847989421,0.203675,0.09895,NA
L47_F3,2.987473849,12.4,5.504818825,0.178375,0.081975,NA
L48_F5,2.797320146,23.96666667,6.884399609,0.188,0.104075,NA
L5_F5,2.554407955,12.6,7.23627227,0.14775,0.0937,NA
L52_F5,2.832843095,27.6,8.474928202,0.23245,0.137975,33.65
L53_F5,2.588435821,21.6,4.745353766,0.20095,0.09835,NA
L54_F5,2.815137652,23.15,7.261561852,0.1747,0.121875,36.55
L6_F6,2.761340254,23.5,7.825355538,0.223075,0.12705,NA
L7_F5,2.743173345,24,7.625468725,0.19185,0.086225,NA
L9_F5,2.80624304,19.375,7.340426388,0.176375,0.10435,NA
N1_F5,3.03726851,29.825,7.396293284,0.2462,0.08706667,33.4
N10_F5,3.259601203,26.2,7.258950298,0.204975,0.131775,34.45
N100_F5,2.906888371,24.35,6.691980925,0.137625,0.055725,NA
N101_F4,2.783882181,19.175,8.014963446,0.186675,0.115575,33.35
N102_F5,2.752271789,19.36666667,7.53758959,0.220475,0.077575,NA
N107_F5,3.045488467,19.1,7.079964014,0.20355,0.11935,NA
N109_F5,2.945335295,23.06666667,6.708203932,0.1848,0.101225,33.9
N11_F4,2.941088234,23.8,7.353343542,0.2728,0.09135,NA
N110_F4,2.979093822,16.33333333,6.280802299,0.169525,0.0775,NA
N111_F5,2.783882181,23.2,8.348918104,0.204725,0.08995,34.15
N113_F5,2.941088234,26.225,6.211028209,0.21665,0.070475,35.1
N114_F4,3.004163777,22,9.51286164,0.159025,0.12725,34.25
N115_F5,3.024896692,20.2,7.181121078,0.1609,0.0948,NA
N116_F5,3.178049716,17.55,6.207582985,0.158575,0.096725,NA
N117_F5,2.941088234,22.4,9.549130716,0.2397,0.1365,34.3
N118_F5,2.75680975,30.4,7.434902675,0.22405,0.121525,NA
N119_F4,2.876629973,21.55,7.420039087,0.2452,0.10775,34.4
N12_F5,2.928310093,18.2,5.106960098,0.1806,0.093775,33.35
N120_F4,2.837252192,26.3,5.854129596,0.1882,0.1082,34.65
N121_F5,3.03726851,26.8,6.968910151,0.2303,0.1024,NA
N122_F5,3.189827582,23.86666667,6.848606361,0.26095,0.087675,34.65
N123_F5,2.788368699,20.25,8.574820253,0.198325,0.1124,32.8
N124_F5,2.880972058,26.3,9.1163565,0.1581,0.120725,35.5
N125_F5,3.402205167,17,4.374264559,0.27545,0.12335,NA
N127_F5,2.953811098,29.6,4.252658742,0.229,0.093425,NA
N128_F5,2.962262649,14.25,5.192665689,0.18455,0.0644,NA
N129_F4,2.761340254,16.85,8.362181251,0.226125,0.09485,NA
N13_F5,2.958039892,22.875,8.465915023,0.188275,0.152775,33.35
N133_F5,2.898275349,22.175,9.781189203,0.205325,0.121725,33.95
N138_F5,3.082207001,21.4,7.803680919,0.1831,0.122125,NA
N14_F5,3.065941943,NA,4.82516052,0.213125,0.092775,NA
N144_F5,2.828427125,22.7,9.807515681,0.174475,0.1066,33.3
N15_F5,3.193743885,21.7,3.726779963,0.252925,0.120525,NA
N154_F5,3.12649964,NA,NA,0.19005,0.0902,NA
N16_F5,2.970690156,21.33333333,7.092736859,0.222875,0.104975,33.85
N160_F5,2.902585055,24.15,9.746794345,0.206725,0.096275,34.05
N161_F5,2.974894956,NA,6.100843097,0.22075,0.07145,NA
N162_F5,2.919760264,23,5.694947974,0.2544,0.102075,NA
N165_F5,3.201562119,21.4,7.169236882,0.1824,0.1005,NA
N166_F5,3.045488467,17.4,6.519733411,0.210725,0.1069,NA
N172_F5,3.405877273,14.96666667,5.909368403,0.151675,0.091075,NA
N173_F5,3.138470965,22.96666667,3.932133231,0.24775,0.1393,NA
N174_F5,2.788368699,22.06666667,8.171325643,0.1842,0.098125,34.5
N179_F5,3.008321791,18.56666667,9.329364236,0.1607,0.148425,33.1
N180_F5,2.880972058,22.65,8.258309928,0.15185,0.11215,34.4
N182_F5,3.004163777,31.65,5.421260023,0.2201,0.0936,NA
N183_F5,3.082207001,20.7,8.885233166,0.247725,0.105275,NA
N25_F5,2.898275349,29.6,7.639479829,0.203725,0.086,35.4
N27_F5,3.102418411,16.15,8.271960147,0.179175,0.120525,36.2
N3_F5,3.078148794,20.76666667,7.882266475,0.2122,0.148625,34.8
N30_F5,2.664582519,20.475,6.595850422,0.142575,0.095625,NA
N33_F5,2.854820485,27.66666667,6.605822335,0.26225,0.11405,NA
N35_F5,2.906888371,21.7,7.541648154,0.189575,0.084,NA
N39_F5,2.434132289,22.3,9.188729483,0.123025,0.089,33.45
N4_F5,2.911185326,19.36666667,6.060084493,0.22435,0.07645,NA
N41_F5,3.065941943,13.4,3.808387689,0.172725,0.10265,NA
N43_F5,2.854820485,20.83333333,7.450324171,0.150525,0.072925,33.55
N48_F5,3.012474066,23.8,6.326879294,0.240475,0.1188,33.85
N5_F5,2.941088234,NA,7.283481409,0.1702,0.099775,33.45
N53_F5,3.17411405,20.76666667,5.735908039,0.199425,0.0857,NA
N54_F5,2.885307609,17.95,7.555432383,0.1682,0.074075,35.1
N59_F5,2.626785107,20.975,7.321064832,0.1466,0.0897,NA
N6_F4,2.761340254,20.9,8.77527021,0.165175,0.10865,34.1
N63_F5,3.07408523,15.625,6.832568965,0.16146667,0.09926667,NA
N65_F5,2.941088234,19.35,7.352079106,0.163175,0.091275,NA
N67_F5,3.07408523,19.425,5.794896925,0.123225,0.081075,31.95
N68_F5,2.979093822,NA,9.213236181,0.10756667,0.09096667,NA
N69_F4,3.041381265,NA,6.616926808,0.198675,0.0824,NA
N7_F5,2.828427125,13.95,4.91925716,0.1655,0.06975,NA
N77_F4,2.962262649,16.5,5.296991183,0.196225,0.08425,NA
N79_F5,2.854820485,15.875,7.360939173,0.187725,0.090625,32.7
N8_F5,3.181980515,24.4,9.893045053,0.193375,0.075675,NA
N82_F5,2.655183609,24.35,7.424079678,0.17086667,0.07653333,35.15
N83_F5,3.07408523,28.36666667,6.654974867,0.198975,0.079775,NA
N86_F5,3.431471987,21.2,7.545017192,0.166825,0.08675,34.75
N88_F5,2.987473849,19.6,5.400899229,0.2005,0.12193333,NA
N88_F6,3.1503968,13.5,7.242859683,0.147175,0.1113,NA
N9_F5,3.090307428,29.675,5.841031335,0.2171,0.1122,32.3
N97_F5,2.936835031,21.475,5.47991147,0.271175,0.08225,NA
N98_F5,3.170173497,19.875,8.380088617,0.214775,0.148475,34.45
N99_F5,2.846049894,29,7.22094058,0.187325,0.10675,33.95